,Phone_names,Links
0,"Motorola G34 5G (Ocean Green, 128 GB)",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
1,"Motorola G34 5G (Ice Blue, 128 GB)",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
2,"POCO C55 (Power Black, 64 GB)",https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
3,"Motorola G34 5G (Charcoal Black, 128 GB)",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
4,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",https://www.flipkart.com/samsung-galaxy-f04-jade-purple-64-gb/p/itm0934dc56a1df7?pid=MOBGKY2VTP3XETBR&lid=LSTMOBGKY2VTP3XETBRJKXEIM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGKY2VTP3XETBR.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
5,"POCO C51 (Power Black, 64 GB)",https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGZCQFWM5HZHXX.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
6,"POCO C51 (Royal Blue, 128 GB)",https://www.flipkart.com/poco-c51-royal-blue-128-gb/p/itm9ade6427024be?pid=MOBGSPJPFSS9JJDW&lid=LSTMOBGSPJPFSS9JJDWVAIRSD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGSPJPFSS9JJDW.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
7,"POCO C51 (Power Black, 128 GB)",https://www.flipkart.com/poco-c51-power-black-128-gb/p/itma7b694266a136?pid=MOBGSPJPH3UZHMEQ&lid=LSTMOBGSPJPH3UZHMEQAWJ6LR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGSPJPH3UZHMEQ.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
8,"Apple iPhone 15 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZYO7HQ2L&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGTAGPAQNVFZZY.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
9,"realme C53 (Champion Black, 64 GB)",https://www.flipkart.com/realme-c53-champion-black-64-gb/p/itm5df90168ecd05?pid=MOBGQY93HQSAGAXG&lid=LSTMOBGQY93HQSAGAXGQLZ2WK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGQY93HQSAGAXG.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
10,"Infinix SMART 8 (Timber Black, 128 GB)",https://www.flipkart.com/infinix-smart-8-timber-black-128-gb/p/itmb5696a34ad441?pid=MOBGWV5HAFHQJ4CB&lid=LSTMOBGWV5HAFHQJ4CBVTMJ6P&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGWV5HAFHQJ4CB.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
11,"Infinix SMART 8 (Galaxy White, 128 GB)",https://www.flipkart.com/infinix-smart-8-galaxy-white-128-gb/p/itmb5696a34ad441?pid=MOBGWV5HKPFCMQNR&lid=LSTMOBGWV5HKPFCMQNRHXLSXC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGWV5HKPFCMQNR.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
12,"Infinix SMART 8 (Shiny Gold, 128 GB)",https://www.flipkart.com/infinix-smart-8-shiny-gold-128-gb/p/itmb5696a34ad441?pid=MOBGWV5H9XEBFU4H&lid=LSTMOBGWV5H9XEBFU4H3X8LJ2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGWV5H9XEBFU4H.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
13,"Infinix SMART 8 (Rainbow Blue, 64 GB)",https://www.flipkart.com/infinix-smart-8-rainbow-blue-64-gb/p/itmb5696a34ad441?pid=MOBGWV5HGPYMDWUN&lid=LSTMOBGWV5HGPYMDWUNX0Q8RJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGWV5HGPYMDWUN.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
14,"Infinix SMART 8 (Galaxy White, 64 GB)",https://www.flipkart.com/infinix-smart-8-galaxy-white-64-gb/p/itmb5696a34ad441?pid=MOBGWV5HNYCNQJG2&lid=LSTMOBGWV5HNYCNQJG2C89BS0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGWV5HNYCNQJG2.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
15,"Infinix SMART 8 (Shiny Gold, 64 GB)",https://www.flipkart.com/infinix-smart-8-shiny-gold-64-gb/p/itmb5696a34ad441?pid=MOBGWV5HMRJKJUH4&lid=LSTMOBGWV5HMRJKJUH4ZNXPNM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGWV5HMRJKJUH4.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
16,"Motorola g54 5G (Midnight Blue, 128 GB)",https://www.flipkart.com/motorola-g54-5g-midnight-blue-128-gb/p/itm1867d5933e9e8?pid=MOBGQFX8P4HFEUCD&lid=LSTMOBGQFX8P4HFEUCDNGAP9K&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGQFX8P4HFEUCD.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
17,"REDMI 13C (Stardust Black, 128 GB)",https://www.flipkart.com/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGW4HKVU4ZGZFZ.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
18,"REDMI 13C (Starfrost White, 128 GB)",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGWUHSZKWBZQWJ.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
19,"realme C53 (Champion Gold, 128 GB)",https://www.flipkart.com/realme-c53-champion-gold-128-gb/p/itm5df90168ecd05?pid=MOBGTEVGHM9ZPZBB&lid=LSTMOBGTEVGHM9ZPZBBKT9GI8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_20&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGTEVGHM9ZPZBB.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
20,"realme C53 (Champion Gold, 64 GB)",https://www.flipkart.com/realme-c53-champion-gold-64-gb/p/itm5df90168ecd05?pid=MOBGQY939DG9GBQ8&lid=LSTMOBGQY939DG9GBQ8AQQV4I&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGQY939DG9GBQ8.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
21,"realme C53 (Champion Black, 128 GB)",https://www.flipkart.com/realme-c53-champion-black-128-gb/p/itm5df90168ecd05?pid=MOBGTEVGGM7CTGXU&lid=LSTMOBGTEVGGM7CTGXUNSRWPW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGTEVGGM7CTGXU.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
22,"Infinix SMART 8 (Timber Black, 64 GB)",https://www.flipkart.com/infinix-smart-8-timber-black-64-gb/p/itmb5696a34ad441?pid=MOBGWV5H2JGQTN22&lid=LSTMOBGWV5H2JGQTN22UOUMXB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGWV5H2JGQTN22.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
23,"vivo T2x 5G (Marine Blue, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_24&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
